Pos,artist,title,Total,country
8,Drake ,God's Plan,1312409,GRC
9,Imagine Dragons ,Believer,1259666,GRC
10,Kendrick Lamar ,HUMBLE.,1224603,GRC
1,Danny Ocean ,Me Rehúso,5022565,GTM
2,Zion & Lennox ,Otra Vez,4316135,GTM
3,Piso 21 ,Déjala Que Vuelva,3527753,GTM
4,Wisin ,Escápate Conmigo,3498435,GTM
5,Ed Sheeran ,Shape of You,3084561,GTM
6,Luis Fonsi ,Despacito (Featuring Daddy Yankee),3061759,GTM
7,Anuel Aa ,Sola (Remix),3060794,GTM
8,Maluma ,Felices los 4,2967385,GTM
9,Chris Jeday ,Ahora Dice,2958915,GTM
10,Manuel Turizo ,Una Lady Como Tú,2907582,GTM
1,Danny Ocean ,Me Rehúso,2965823,HND
2,Zion & Lennox ,Otra Vez,2542152,HND
3,Drake ,One Dance,2367953,HND
4,Ed Sheeran ,Shape of You,2280981,HND
5,Anuel Aa ,Sola (Remix),2130310,HND
6,Luis Fonsi ,Despacito (Featuring Daddy Yankee),2005309,HND
7,Wisin ,Escápate Conmigo,1861161,HND
8,Mike Posner ,I Took A Pill In Ibiza -  Seeb Remix,1841072,HND
9,The Chainsmokers ,Closer,1774306,HND
10,Chris Jeday ,Ahora Dice,1739119,HND
1,Ed Sheeran ,Shape of You,6902114,HKG
2,The Chainsmokers ,Closer,6428023,HKG
3,The Chainsmokers ,Something Just Like This,5567899,HKG
4,Charlie Puth ,We Don't Talk Anymore,5470166,HKG
5,Alan Walker ,Faded,5011621,HKG
6,Dear Jane ,哪裡只得我共你,4905477,HKG
7,Ed Sheeran ,Photograph,4785590,HKG
8,Charmaine Fong ,分手總約在雨天,4507594,HKG
9,Ed Sheeran ,Thinking Out Loud,4472034,HKG
10,Supper Moment ,風箏,4200221,HKG
1,Ed Sheeran ,Shape of You,4634746,HUN
2,Imagine Dragons ,Believer,3083397,HUN
3,Axwell /\ Ingrosso ,More Than You Know,2753343,HUN
4,Camila Cabello ,Havana,2732903,HUN
5,Imagine Dragons ,Thunder,2714205,HUN
6,Major Lazer ,Lean On,2514972,HUN
7,Dua Lipa ,New Rules,2477613,HUN
8,Kygo ,It Ain't Me,2414819,HUN
9,Post Malone ,rockstar,2384658,HUN
10,Sia ,Cheap Thrills,2367033,HUN
1,Luis Fonsi ,Despacito ,1997846,ISL
2,Ed Sheeran ,Shape of You,1936967,ISL
3,JóiPé ,B.O.B.A.,1791792,ISL
